Season,Location,Study day,Stage,Name  ,Weight mg,N  percent,C  percent,CN  ratio
winter,con15,38,Active,3_win3_con15,91.51,0.862,10.74,12.4671
winter,gr15,38,Active,3_win3_gr15,116.65,0.818,10.516,12.86
winter,con15,55,Active_adv,4_win1_con15,79.52,0.724,11.333,15.6583
winter,gr15,55,Active_adv,4_win1_gr15,78.03,0.571,8.299,14.5353
winter,con15,55,Active_adv,4_win2_con15,79.44,0.51,7.402,14.5182
winter,gr15,55,Active_adv,4_win2_gr15,83.36,0.562,7.697,13.705
winter,con15,55,Active_adv,4_win3_con15,78.31,0.523,6.518,12.4589
winter,gr15,55,Active_adv,4_win3_gr15,87.33,0.763,9.265,12.1475
winter,con15,75,Advanced1,5_win1_con15,70.53,0.815,13.03,15.9811
winter,gr15,75,Advanced1,5_win1_gr15,75.68,0.509,7.588,14.9107
winter,con15,75,Advanced1,5_win2_con15,75.63,0.546,7.831,14.3525
winter,gr15,75,Advanced1,5_win2_gr15,87.24,0.591,8.181,13.846
winter,con15,75,Advanced1,5_win3_con15,80.95,0.891,11.112,12.4735
winter,gr15,75,Advanced1,5_win3_gr15,78.11,0.934,11.421,12.2258
winter,con15,94,Advanced2,6_win1_con15,105.07,0.963,14.046,14.5921
winter,gr15,94,Advanced2,6_win1_gr15,81.58,0.374,5.346,14.3093
winter,con15,94,Advanced2,6_win2_con15,78.4,0.503,6.97,13.8571
winter,gr15,94,Advanced2,6_win2_gr15,76.15,0.586,9.091,15.523
winter,con15,94,Advanced2,6_win3_con15,73.19,0.585,7.564,12.9348
winter,gr15,94,Advanced2,6_win3_gr15,95.53,0.798,9.001,11.2812
winter,con15,110,Advanced3,7_win1_con15,92.72,0.671,9.398,13.9965
winter,gr15,110,Advanced3,7_win1_gr15,85.24,0.603,10.222,16.9634
winter,con15,110,Advanced3,7_win2_con15,75.28,0.413,5.726,13.8767
winter,gr15,110,Advanced3,7_win2_gr15,89.93,0.643,8.693,13.5265
winter,con15,110,Advanced3,7_win3_con15,32.77,0.768,11.902,15.495
winter,gr15,110,Advanced3,7_win3_gr15,71.03,0.833,10.531,12.6405
winter,con15,126,Advanced4,8_win1_con15,79.83,0.634,9.032,14.2441
winter,gr15,126,Advanced4,8_win1_gr15,91.17,0.635,9.953,15.6707
